SMILES,PG Explainer,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,SubgraphX
CCC(C)C(=O)NC1CCOC2CCC(C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,True,True,True,True,True,True,False
CCC(OC)C(=O)N1CCN(c2ccccc2C)C(=O)C1,True,True,True,True,True,True,False
C=C(C=CC=CC)C(COCCOCCOCC(c1ccccc1)C(C)C)C(C)C,True,True,True,True,True,True,False
CCN(CC)c1c2c(oc(=O)c1Cl)-c1ccccc1OCC2,True,True,True,True,True,True,False
CCCOc1c(Br)cc(CNCCCCO)cc1Br,True,True,True,True,True,True,False
CCOC(=O)CC1CC(COc2ccc(-c3ccc(C(N)=NC(=O)OCC)cn3)cc2)NC1=O,True,True,True,True,True,True,False
COc1ccc(-c2nc(-c3ccc(C)cc3)cs2)cc1N,True,True,True,True,True,True,False
CCCCN(C)C(=O)c1cc(-c2n[nH]c(=O)n2-c2ccccc2Cl)c(O)cc1O,True,True,True,True,True,True,False
CCOc1ccc(N(CC(=O)NCCSCc2ccc(Cl)c(Cl)c2)S(=O)(=O)c2ccccc2)cc1,True,True,True,True,True,True,False
O=C(NC(Cc1c[nH]c2ncnc(Cl)c12)C(=O)O)OCC1c2ccccc2-c2ccccc21,True,True,True,True,True,True,False
CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])C=CC(=O)[O-].[Cl-],True,True,True,True,True,True,False
C#CCC(OC(C)COC(Cc1ccc(N)cc1)(C(=O)OCC)c1cscn1)n1cnc2c(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)nc(Cl)nc21,True,True,True,True,True,True,False
C#Cc1cccc(NC(=O)CNC(=O)CCNS(=O)(=O)c2ccc(OCC)cc2)c1,True,True,True,True,True,True,False
CCCCC(CC)C(C)(C)N.N#CS,True,True,True,True,True,True,False
CCOc1ccccc1-c1c(C)cc2[nH]c(C(O)c3ccc(S(=O)CC)cc3)nc2c1Cl,True,True,True,True,True,True,False
CC(C)N(C)C1CNCC1(C)O,True,True,True,True,True,True,False
CCNc1ncc2cc(-c3ccc(Cl)cc3Cl)c(=O)n(CC)c2n1,True,True,True,True,True,True,False
CCCC1(C(=O)O)CCCN1C(=O)c1cc(Cl)ccc1F,True,True,True,True,True,True,False
CC[NH+](CC(=O)Nc1cc(Cl)ccc1C)CC(=O)N1CCc2ccccc2C1,True,True,True,True,True,True,False
CCCNC(Cc1ccc(Cl)cc1F)c1sc(C)nc1C,True,True,True,True,True,True,False
CCOc1ccc(C2C(C(=O)C(C)C)=C(O)C(=O)N2c2cccc(Cl)c2)cc1,True,True,True,True,True,True,False
CC(C)(C)c1cc2c3c(c1)N1c4ccccc4Sc4cccc(c41)B3n1c3ccccc3c3cccc-2c31,True,True,True,True,True,True,False
CCCc1nc(Cl)c(Cl)c(=O)[nH]1,True,True,True,True,True,True,False
CCCNCc1nccn1Cc1ccccc1Br,True,True,True,True,True,True,False
CCNC(=NCCCNC(=O)OC(C)(C)C)NCCCCN(CC)CC,True,True,True,True,True,True,False
Cc1cccc(-c2ncc(C)c(Nc3ccncc3)n2)c1,True,True,True,True,True,True,False
CCOc1ccc(C(O)=C2C(=O)C(=O)N(Cc3ccccc3)C2c2ccc(OCCC(C)C)c(OCC)c2)cc1,True,True,True,True,True,True,False
OCC(O)COCC(COC(CO)CO)OC(CO)CO,True,True,True,True,True,True,False
CCNC(c1cccc(OCC)c1)c1c(Cl)cnn1C,True,True,True,True,True,True,False
CNC(=O)CCCCCNC(=O)CCSS(CCO)(CCO)(CCO)(CCO)CCOc1cccc(C(C)(C)C(NC)C(=O)NC(C(=O)N(C)C(C=C(C)C(=O)O)C(C)C)C(C)(C)C)c1,True,True,True,True,True,True,False
CCC(CC)C(=O)N1CC(Oc2ncccc2Cl)C1,True,True,True,True,True,True,False
O=C(O)c1csc(-c2cnc(-c3ccccc3)nc2)n1,True,True,True,True,True,True,False
CCN1C(=O)C(NC(=O)c2cccc(C(F)(F)F)c2)C(c2ccc(F)cc2)c2c(CN3CC=CC3=O)nn(-c3ccccc3)c21,True,True,True,True,True,True,False
CCC1CCCC(OC2CCC(N(C)C)C(C)O2)C(C)C(=O)C2=CC3C4CC(OC(OC)C(OC)C(OC)C(OC)C(C)C)CC4c4sc(-c5cccc(Cl)c5)nc4C3C2CC(=O)O1,True,True,True,True,True,True,False
