SMILES,PG Explainer,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,SubgraphX
COc1cc(C)c(NC(=O)C2([P+](C)(C)CC(=O)OCc3ccccc3)CC2)c(C)c1,True,True,True,True,True,True,False
CC(C)(NC(=O)c1ccc(CNC(N)=O)cc1)C(=O)O,True,True,True,True,True,True,False
CCOP(=O)(CCN(CCCC(=O)OC)CCNc1ncnc(Cl)c1N)OCC,True,True,True,True,True,True,False
C[P+](Cc1ccccc1)(Cc1ccccc1)Cc1ccccc1,True,True,True,True,True,True,False
Cc1cc(NC(=S)c2cc(S(=O)(=O)N3CCOCC3)c(Cl)cc2Cl)cc(Cl)c1Cl,True,True,True,True,True,True,False
CCC[P+](=O)[O-].CC[P+](C)(CC)CC,True,True,True,True,True,True,False
O=c1[nH]c2cc(-c3cccc4ccccc34)ccc2c(=O)n1-c1cncc2ccccc12,True,True,True,True,True,True,False
CCCCCCCCCCC#CC#CCCCCCCCCC(=O)OCC(C)(CO[P+]([O-])(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC#CC#CCCCCCCCCCC,True,True,True,True,True,True,False
CC(C)(C)O[P+](C)(OC(C)(C)C)OC(C)(C)C,True,True,True,True,True,True,False
COc1cc(-n2c(N)c3c(cc2=O)C(=O)NC3=O)ccc1NC(=O)C(C)(C)C,True,True,True,True,True,True,False
CCCCCCCCCCCCCCCC[P+](C)(C)CC.[Cl-],True,True,True,True,True,True,False
C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.I.c1ccncc1,True,True,True,True,True,True,False
Cc1cc(C)cc(NC(=O)CCCSc2nc3ccccc3[nH]2)c1,True,True,True,True,True,True,False
CCC(=O)c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,True,True,True,True,True,True,False
CN(C)CCOc1ccc(C(=C(CCCCCCCCCC[P+](C)(C)c2ccccc2)c2ccccc2)c2ccccc2)cc1,True,True,True,True,True,True,False
FC(F)(F)c1ccc(Nc2ncnc3nc(Nc4ncccc4C(F)(F)F)[nH]c23)cc1,True,True,True,True,True,True,False
CCCCC[P+](C)(CCCCC)CCCCC.COP(=O)([O-])OC,True,True,True,True,True,True,False
CCOC(=O)CCc1cc(C#CCNc2ccc(C(=N)NC(=O)OC(C)(C)C)cc2)ccc1C(=O)N1CCCC1,True,True,True,True,True,True,False
C=CC=C(C=CC)C(C)=C(C)N1CCN=CC1=C,True,True,True,True,True,True,False
CCC(C)(C)CS(=O)(=O)c1ccccc1,True,True,True,True,True,True,False
[C-]#[N+]COc1cc(C(=O)NC)c(F)cc1NCC#Cc1sc2c(NCCN(C)C)cccc2c1CC(F)(F)F,True,True,True,True,True,True,False
CONC(=O)c1ccc(-c2ccnc(Cl)c2)[nH]c1=O,True,True,True,True,True,True,False
COc1ccc([P+](C)(N2CCOCC2)N2CCOCC2)c(OC)c1,True,True,True,True,True,True,False
C[P+](C)(c1ccccc1)c1ccccc1.C[P+](C)(c1ccccc1)c1ccccc1.[O-]P([O-])O,True,True,True,True,True,True,False
c1ccc(N(c2ccc(-c3cccc4c3oc3cnccc34)cc2)c2cccc(-n3c4ccccc4c4ccccc43)c2)cc1,True,True,True,True,True,True,False
Cc1cncc(NS(=O)(=O)c2ccc3c(c2)CCN3)c1,True,True,True,True,True,True,False
C[P+](C)(C)C(F)(F)C(F)(F)F,True,True,True,True,True,True,False
N#CC(C#N)=C1C(=C2c3ccccc3-c3ncccc32)C(=C(C#N)C#N)c2c(F)cccc21,True,True,True,True,True,True,False
CCCC(C)(CC)OC1=CC(=O)C(=O)c2ccccc21,True,True,True,True,True,True,False
Cn1c(C23CCN(CC2)C3)c(C(=O)O)c2cc(Cl)ccc21,True,True,True,True,True,True,False
CCn1c(-c2nonc2N)nc2c(C#CCO)ncc(OCCCNCCS(=O)(=O)O)c21,True,True,True,True,True,True,False
Cc1ccc(NC(=O)c2ccc(Cn3ccn4nc5c(c4c3=O)CCCC5)cc2)cc1F,True,True,True,True,True,True,False
COC(=O)OC(C)=CCOC(C)(C)C,True,True,True,True,True,True,False
C.C.C.C.C.CC.CC.CN.CN1SCC(C)(c2cc([N+](=O)[O-])ccc2F)N=C1NC(=O)OC(C)(C)C.CN=S(=O)(CC(C)(N)c1cc([N+](=O)[O-])ccc1F)NC.CN=S(=O)(CC(C)(NS(=O)C(C)(C)C)c1cc([N+](=O)[O-])ccc1F)N(C)Cc1ccc(OC)cc1.CN=S1(=O)CC(C)(c2cc([N+](=O)[O-])ccc2F)N=C(N)N1C.CNS1(O)CC(C)(c2cc([N+](=O)[O-])ccc2F)N=C(NC(=O)OC(C)(C)C)N1C.O,True,True,True,True,True,True,False
C1=Cc2ccc3ccc(-c4ccc(-c5ccc6c(-c7ccc8ccccc8c7)c7ccccc7c(-c7ccc(-c8ccccc8)cc7)c6c5)cc4)nc3c2NC1,True,True,True,True,True,True,False
CCc1cccc(C)c1N(CCSc1ccccc1)c1ccc2c(-c3ccccc3S(=O)(=O)[O-])c3ccc(=[N+](CCSc4ccccc4)c4c(C)cccc4CC)cc-3oc2c1.CCc1cccc(C)c1N(CSc1ccccc1)c1ccc2c(-c3ccccc3S(=O)(=O)[O-])c3ccc(=[N+](CSc4ccccc4)c4c(C)cccc4CC)cc-3oc2c1,True,True,True,True,True,True,False
Cc1nn(CCC(=O)Nc2cccc(O)c2)cc1Br,True,True,True,True,True,True,False
[B][P+](C)(C)[CH-][Si](C)(C)CC[Si](C)(C)[CH-][P+]([B])(C)C.[Li+].[Li+],True,True,True,True,True,True,False
Cc1cc(C)c2c(=O)cc(C(=O)Nc3sc4c(c3C#N)CCCC4)oc2c1,True,True,True,True,True,True,False
CCCCCCCC[P+](C)(CCCCCCCC)CCCCCCCC.[Cl-],True,True,True,True,True,True,False
CCCCCC=CCC#CCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],True,True,True,True,True,True,False
Cc1ccc([P+](C)(N2CCOCC2)N2CCOCC2)cc1,True,True,True,True,True,True,False
