SMILES,PG Explainer,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,SubgraphX
CC(C)(C)P1(=O)COc2cccc(O)c21.CC(C)(C)P1(=O)COc2cccc(O)c21.CC1CCC(C(C)C)C(OC(=O)Cl)C1.CC1CCC(C(C)C)C(OC(=O)Oc2cccc3c2P(=O)(C(C)(C)C)CO3)C1.COc1[c-]c(OC)ccc1.COc1cccc(OC)c1P(=O)(CI)C(C)(C)C.COc1cccc(OC)c1P(C)(=O)C(C)(C)C.CP(Cl)Cl.C[C-](C)C.OO.[Cl-].[Li+].[Mg+2],True,True,True,True,True,True,False
Cc1c(N=C2SCC(C(C)OC(C)(C)C)N2C)ccc([N+](=O)[O-])c1C,True,True,True,True,True,True,False
Cc1nccc(NCCS(=O)(=O)NCC2CCC2)n1,True,True,True,True,True,True,False
CC(=CC(=O)Nc1cc(F)ccc1C(=O)O)c1ccc2ccccc2c1,True,True,True,True,True,True,False
CC(C)Oc1ccccc1SC1CCN(CCC(=O)Nc2nnc(NC3CCN(c4cccnn4)C3)s2)CC1.CC=CC,True,True,True,True,True,True,False
CC=CC1C(C(=O)O)C1(S)S,True,True,True,True,True,True,False
C=CC=C(C)SC(=C)c1cc(OC2CCN(C(C)=O)CC2)cc(C(=O)O)c1,True,True,True,True,True,True,False
CC(C)=CCC1(C(=O)NCCCc2c(C)n[nH]c2C)CC2CCC1N2,True,True,True,True,True,True,False
CC=C(OC)C(CNC(=O)c1ccc(Cl)s1)c1cccs1,True,True,True,True,True,True,False
COC(=O)[C-]1C(=O)c2ccccc2C1=O.[Na+],True,True,True,True,True,True,False
C=CC(=O)CC1CCC(Nc2nc(Nc3ccc(N(C)C)cc3)nc3ccsc23)CC1,True,True,True,True,True,True,False
C=CC=C(C=CC)C1=NNC(C)C1.CCCC(CC(=O)CC)c1ccccc1F,True,True,True,True,True,True,False
Cc1noc2nc(C(C)C)cc(C(=O)NC(CCC(=O)O)c3ccccc3)c12,True,True,True,True,True,True,False
CCCCCN(C)C(=O)c1sc(N2CCCC2)nc1N,True,True,True,True,True,True,False
C=CC=CC(=CC)c1cc(C(=O)NC2CCC2)no1.Cc1nnc(CO)s1,True,True,True,True,True,True,False
CN=C(NCCCN1CC(C)OC(C)C1)NCC(c1ccco1)N1CCCCC1.I,True,True,True,True,True,True,False
CC=CN(C=N)Cc1ccc(C=CC(=O)OC)cc1,True,True,True,True,True,True,False
C#CC(=C)C(c1ccc(C(C)C)cc1)C(C(C)=CC(=CC)c1cccc(C#N)c1)C(C)C.C=C(C)C.CC,True,True,True,True,True,True,False
C=CC1CN(CCCCC)CCC1CC(=O)Cc1ccnc2ccccc12,True,True,True,True,True,True,False
CC=C1CN(Cc2ccc(OC)cc2)CC(=O)OC1C,True,True,True,True,True,True,False
C.C.C=CC(=O)Cl.C=CC(=O)N1CCN(c2nccc3cc(Cl)ccc23)CC1C#N.C=CC(=O)N1CCN(c2nccc3cc(Cl)ccc23)CC1C(N)=O.CC.Clc1ccc2c(Cl)nccc2c1.Clc1ccc2c[nH+]ccc2c1.Clc1ccc2cnccc2c1.NC(=O)C1CCCN(c2nccc3cc(Cl)ccc23)C1.O=C(O)C1CCCNC1.O=C(OC(=O)C(F)(F)F)C(F)(F)F.O=P(Cl)(Cl)Cl.[OH-],True,True,True,True,True,True,False
CCCCCCCN1C(=O)C(=Cc2c(Oc3ccccc3OC)nc3ccccn3c2=O)SC1=S,True,True,True,True,True,True,False
CC1CCCCC1C=CCCOc1cccc(C(F)(F)F)c1.CC=CCCCC(=O)Oc1ccccc1CO[N+](=O)[O-],True,True,True,True,True,True,False
C=NCC=C(C=CC)N1CCN(C(C)=O)CC1.CC.CC.CC.CCSc1nc(C)c(C2=NC(=NC)NCC=C2)s1,True,True,True,True,True,True,False
CC(C)(O)C(NC(=O)N1CCN(c2ccc(-c3ccccc3)cc2)CC1)C(=O)CO,True,True,True,True,True,True,False
CC(O)NCCC(=O)NCCCO,True,True,True,True,True,True,False
C=C(C=CC(=CC)c1c(C(F)(F)F)sc2c1CCCC2)NC(=O)c1c(F)cccc1F,True,True,True,True,True,True,False
