SMILES,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,PG Explainer
CC1=C(C2=NN=C(N2N1)Cl)N,True,True,True,True,True,True
COC1=C(C=C(C=C1)Br)C(=O)NC2=CC3=C(C=C2)SC(=N3)C4=CC=C(C=C4)Cl,True,True,True,True,True,True
COC1=CC(=C(C=C1)OCCCC#N)CN,True,True,True,True,True,False
C1=CC(=C(C=C1F)F)C(=O)NCCNC(=O)C2=CC(=CC(=C2)O)O,True,True,True,True,True,True
COC1=CC=CC(=C1)C2=C(C3=CC=CC=C3C=C2)OC4=CC=C(C=C4)NC(=O)CCCl,True,True,True,True,True,True
CC1=C(C=CC(=N1)C2=CC=CC=C2)C(=O)N3CCN(C4=CC=CC=C4C3)C,True,True,,True,True,True
COC(=O)C1=C2C=CC=CC=C2C(=C1)C#C[Si](C)(C)C,True,True,,True,True,True
C1=CC(=CC(=C1)F)C2=NN=C3N2N=C(C=C3)NC4=CNN=C4,True,True,,True,True,True
CCN(CC)C(=O)CCNC(=O)C1=CC=C(C=C1)Br,True,True,,True,True,True
CC1=C(C=C(C=C1)C2=NC=C(C(=C2)C)CC(C)(C)C)C3=C(C=C(C=C3)C(C)(C)C)C,True,True,,True,True,True
CCCCCCCCCCCCCCCCCCN1C=C[N+](=C1)CC2=CC(=CC=C2)C[N+]3=CN(C=C3)CCCCCCCCCCCCCCCCCC,True,True,,True,True,False
C1CN(CC2=C1C=C(C=C2)Cl)C3=NC(=NC=C3)NC4=CC=CC=C4,True,True,,True,True,True
C1=CC=C(C=C1)C2=CC=C(C3=CC=CC=C32)C4=CC=C(C=C4)N(C5=CC=C(C=C5)C6=CC=C(C=C6)C7=CC=CC=C7N8C9=CC=CC=C9C1=CC=CC=C18)C1=CC=C(C=C1)C1=CC2=CC=CC=C2C=C1,True,True,,True,True,True
C1=CC=C(C(=C1)CNC2=NC=CC3=C2NC4=CC=CC=C34)Cl,True,True,,True,True,True
C1CN(CCN1C2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-])C3=C(N4C=CSC4=N3)[N+](=O)[O-],True,True,,True,True,True
C1=CC(=C(C=C1Br)NC(=O)N)C#N,True,True,,True,True,True
COC(=O)C1=CC(=C(C=C1)C(=O)OC)NC(=O)CSC2=NC(=NC(=N2)N3CCOCC3)NC4=CC=CC=C4,True,True,,True,True,True
CC1=CC(=CC=C1)OC2=CC=C(C=C2)NC(=O)C3(CCNCC3)OC.Cl,True,True,,True,True,False
C1CCC2=C(C1)C(=C(N=C2C(F)(F)F)SCC3=CN4C=C(C=C(C4=N3)Cl)Cl)C#N,True,True,,True,True,True
